,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan
roberts,76,62,65,61,54,61,57,56,59
scalia,62,76,58,70,52,52,66,50,55
kennedy,65,58,76,58,57,62,60,56,61
thomas,61,70,58,76,51,54,67,50,55
ginsburg,54,52,57,51,76,64,48,64,67
breyer,61,52,62,54,64,76,51,65,68
alito,57,66,60,67,48,51,76,47,52
sotomayor,56,50,56,50,64,65,47,76,68
kagan,59,55,61,55,66,67,52,67,75
