,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan
roberts,75,58,49,46,48,52,54,50,47
scalia,58,75,47,56,42,42,52,40,45
kennedy,49,47,75,43,56,58,50,60,59
thomas,46,56,43,75,37,33,58,31,34
ginsburg,48,42,56,37,75,68,38,64,69
breyer,52,42,58,33,68,75,43,68,69
alito,54,52,50,58,38,43,75,41,39
sotomayor,50,40,60,31,64,68,41,75,65
kagan,47,45,59,34,69,69,39,65,75
