,roberts,stevens,scalia,kennedy,souter,thomas,ginsburg,breyer,alito
roberts,74,48,57,59,50,57,47,52,62
stevens,48,74,40,50,58,37,53,59,45
scalia,57,40,74,51,40,60,38,43,55
kennedy,59,50,51,74,52,46,47,56,54
souter,50,58,40,52,74,43,60,58,50
thomas,57,37,60,46,43,74,37,41,57
ginsburg,47,53,38,47,60,37,74,55,45
breyer,52,59,43,56,58,41,55,74,49
alito,62,45,55,54,50,57,45,49,74
