,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan
roberts,86,72,76,66,52,58,78,57,59
scalia,72,86,69,69,50,48,66,50,54
kennedy,76,69,86,66,53,59,71,59,60
thomas,66,69,66,86,44,46,65,48,48
ginsburg,52,50,53,44,86,70,48,68,74
breyer,58,48,59,46,70,86,53,73,75
alito,78,66,71,65,48,53,86,53,53
sotomayor,57,50,59,48,68,73,53,86,78
kagan,59,54,60,48,74,75,53,78,86
