,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan
roberts,80,65,65,64,49,56,66,50,51
scalia,65,80,58,66,51,45,55,48,51
kennedy,65,58,80,55,55,58,60,56,55
thomas,64,66,55,80,41,46,65,44,42
ginsburg,49,51,55,41,79,68,42,69,74
breyer,56,45,58,46,69,80,51,66,71
alito,66,55,60,65,42,51,80,47,44
sotomayor,50,48,56,44,70,66,47,80,72
kagan,51,51,55,42,75,71,44,72,80
