,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer
rehnquist,85,50,63,68,71,51,68,51,55
stevens,50,85,58,41,53,71,43,73,73
o'connor,63,58,85,56,63,59,50,57,61
scalia,68,41,56,85,66,44,74,40,41
kennedy,71,53,63,66,85,57,69,55,56
souter,51,71,59,44,57,85,49,76,71
thomas,68,43,50,74,69,49,85,45,42
ginsburg,51,73,57,40,55,76,45,85,71
breyer,55,73,61,41,56,71,42,71,85
