,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer
rehnquist,81,47,70,63,68,49,62,52,56
stevens,47,81,54,40,51,69,43,69,65
o'connor,70,54,81,59,63,56,55,59,61
scalia,63,40,59,81,56,43,66,45,44
kennedy,68,51,63,56,81,53,59,52,54
souter,49,69,56,43,53,81,46,72,66
thomas,62,43,55,66,59,46,81,46,45
ginsburg,52,69,59,45,52,72,46,81,73
breyer,56,65,61,44,54,66,45,73,81
