,roberts,stevens,scalia,kennedy,souter,thomas,ginsburg,breyer,alito
roberts,76,40,64,64,49,60,44,46,68
stevens,40,76,36,47,59,33,63,61,40
scalia,64,36,76,54,41,67,40,38,62
kennedy,64,47,54,76,56,52,51,55,64
souter,49,59,41,56,76,39,64,65,47
thomas,60,33,67,52,39,76,40,38,60
ginsburg,44,63,40,51,64,40,76,67,46
breyer,46,61,38,55,65,38,67,76,50
alito,68,40,62,64,47,60,46,50,76
