,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer
rehnquist,87,50,71,76,79,58,76,52,50
stevens,50,87,59,44,56,70,47,70,72
o'connor,71,59,87,63,69,67,63,65,65
scalia,76,44,63,87,71,54,80,49,48
kennedy,79,56,69,71,87,64,71,58,56
souter,58,70,67,54,64,87,54,80,76
thomas,76,47,63,80,71,54,87,48,48
ginsburg,52,70,65,49,58,80,48,87,77
breyer,50,72,65,48,56,76,48,77,87
