names,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan,,,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan
Kingsley v. Hendrickson,0,0,1,0,1,1,0,1,1,,,,,,,,,,,
Los Angeles v. Patel,0,0,1,0,1,1,0,1,1,,,,,,,,,,,
"Kimble v. Marvel Entertainment, LLC",0,1,1,0,1,1,0,1,1,,,,,,,,,,,
King v. Burwell,1,0,1,0,1,1,0,1,1,,,,,,,,,,,
"Texas Dept. of Housing and Community Affairs v. Inclusive Communities Project, Inc.",0,0,1,0,1,1,0,1,1,,,,,,,,,,,
article=Johnson v. United States (2015),1,1,0.5,0.5,1,1,0,1,1,,,,,,,,,,,
Obergefell v. Hodges,0,0,1,0,1,1,0,1,1,,,,,,,,,,,
Michigan v. EPA,1,1,1,1,0,0,1,0,0,,,,,,,,,,,
Arizona State Legislature v. Arizona Independent Redistricting Comm'n,0,0,1,0,1,1,0,1,1,,,,,,,,,,,
Glossip v. Gross,1,1,1,1,0,0,1,0,0,,,,,,,,,,,
