names,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan,,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan
"article=Buckhannon Board & Care Home, Inc. v. West Virginia Dept. of Health and Human Resources",1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Atkinson Trading Co. v. Shirley,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"PGA TOUR, Inc. v. Martin",1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"NLRB v. Kentucky River Community Care, Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Booth v. Churner,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
New Hampshire v. Maine,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Becker v. Montgomery,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Arkansas v. Sullivan,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Florida v. Thomas,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Penry v. Johnson,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Norfolk Shipbuilding & Drylock Corp. v. Garris,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"United Dominion Industries, Inc. v. United States",1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Pollard v. E. I. DuPont de Nemours & Co.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kansas v. Colorado,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kyllo v. United States,0,0,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,
Tuan Anh Nguyen v. INS,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Good News Club v. Milford Central School,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Alabama v. Bozeman,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Cedric Kushner Promotions, Ltd. v. King",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Duncan v. Walker,1,0.5,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
Saucier v. Katz,1,0.5,1,1,1,1,1,0.5,0,,,,,,,,,,,,,,,,,,
United States v. Mead Corp.,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Idaho v. United States,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
INS v. St. Cyr,0,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Calcano-Martinez v. INS,0,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Nevada v. Hicks,1,0.5,0.5,1,1,1,1,1,0.5,,,,,,,,,,,,,,,,,,
"United States v. United Foods, Inc.",1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
Federal Election Comm'n v. Colorado Republican Federal Campaign Comm.,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
New York Times Co. v. Tasini,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
Lorillard Tobacco Co. v. Reilly,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Palazzolo v. Rhode Island,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Tyler v. Cain,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Zadvydas v. Davis,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
United States Postal Service v. Gregory,1,1,1,1,1,1,1,0.5,1,,,,,,,,,,,,,,,,,,
TRW Inc. v. Andrews,1,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Correctional Services Corp. v. Malesko,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Chickasaw Nation v. United States,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
"Adarand Constructors, Inc. v. Mineta",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Knights,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"J. E. M. Ag Supply, Inc. v. Pioneer Hi-Bred International, Inc.",1,0,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
Stewart v. Smith,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Dusenberry v. United States,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
"Toyota Motor Mfg., Ky., Inc. v. Williams",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Great-West Life & Annuity Ins. Co. v. Knudson,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
"Chao v. Mallard Bay Drilling, Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kelly v. South Carolina,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
United States v. Arvizu,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"EEOC v. Waffle House, Inc.",0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Thomas v. Chicago Park Dist.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"National Cable & Telecommunications Assn., Inc. v. Gulf Power Co.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Lee v. Kemna,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Kansas v. Crane,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Owasso Independent School Dist. No. I-011 v. Falvo,1,1,1,0.5,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Barnhart v. Sigmon Coal Co.,1,0,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
